state,Percentage Eligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability
01,40.37,46.34,-10.66,-19.31,-8.15,0.0,-15.34,-9.67,-16.32,-15.21,-10.5
02,35.59,39.33,-7.89,-5.51,-7.24,0.0,-10.26,-4.54,-16.61,-12.2,-8.29
04,36.83,41.69,-7.98,-8.87,-8.28,-7.83,-12.5,-9.14,-12.7,-13.43,-8.3
05,44.47,50.76,-9.81,-9.49,-7.01,0.0,-13.71,-8.61,-17.08,-15.19,-10.68
06,41.73,44.78,-5.23,-6.05,-5.28,-4.37,-7.87,-5.48,-8.91,-7.98,-5.01
08,31.82,35.66,-5.47,-8.95,-6.42,-9.43,-11.3,-7.64,-11.46,-12.68,-7.08
09,36.81,39.81,-7.51,-7.21,-4.98,0.0,-8.31,-4.72,-8.35,-8.99,-4.23
10,34.42,38.1,-3.59,-7.83,-5.82,,-11.65,-3.24,-13.7,-14.1,-8.11
12,37.61,43.03,-11.91,-10.06,-8.81,-1.29,-13.76,-9.29,-15.04,-14.28,-9.08
13,36.58,41.62,-11.42,-12.36,-8.94,-15.87,-14.54,-10.07,-15.12,-13.99,-9.21
15,39.55,42.24,-2.55,-6.08,-7.19,-3.29,-5.79,-3.7,-6.42,-7.65,-4.97
16,35.56,41.38,-3.92,-4.44,-9.53,0.0,-14.34,-10.23,-18.93,-16.6,-10.03
17,35.97,40.08,-6.5,-8.21,-4.94,0.0,-12.6,-8.65,-14.34,-13.47,-8.32
18,35.61,41.0,-9.8,-7.31,-9.96,0.0,-13.72,-8.01,-14.19,-16.1,-9.53
19,33.46,38.25,-8.24,-5.65,-4.89,-51.5,-13.17,-8.38,-16.41,-16.41,-8.42
20,32.58,38.78,-10.82,-11.37,-9.8,-16.17,-16.76,-11.81,-16.47,-19.49,-11.18
21,44.05,48.93,-8.17,-9.57,-7.69,0.0,-10.08,-8.92,-12.18,-13.23,-6.75
22,48.82,53.16,-6.07,-5.52,-5.03,0.0,-10.07,-7.8,-13.56,-11.11,-6.72
23,34.54,39.78,-6.94,-7.94,-13.5,0.0,-13.02,-5.76,-14.43,-16.42,-8.96
24,33.71,36.39,-2.6,-5.01,-4.83,0.0,-9.74,-5.39,-10.2,-9.55,-5.94
25,37.91,40.48,-3.11,-5.53,-2.22,0.0,-7.01,-2.63,-7.0,-8.78,-5.14
26,37.96,42.69,-5.81,-9.6,-5.79,-9.69,-12.71,-9.55,-13.42,-13.99,-8.0
27,31.41,35.2,-6.26,-7.93,-4.9,0.0,-11.6,-6.67,-12.6,-13.86,-8.48
28,45.32,51.05,-9.81,-9.16,-8.28,0.0,-13.41,-15.45,-19.18,-13.36,-8.21
29,33.39,39.11,-13.08,-9.49,-10.82,-1.39,-15.34,-15.1,-17.23,-15.84,-10.3
30,35.0,40.72,-3.47,-17.99,-0.85,0.0,-14.97,-16.88,-13.37,-17.47,-9.57
31,30.16,35.8,-4.65,-7.92,-8.18,0.0,-17.13,-11.16,-19.43,-16.97,-11.38
32,39.31,44.6,-8.55,-10.4,-8.95,-3.23,-13.07,-10.39,-12.94,-12.77,-7.48
33,27.01,30.98,-5.2,-11.23,-3.77,0.0,-13.14,-2.19,-14.74,-16.34,-10.97
34,32.73,36.26,-9.68,-8.94,-6.3,0.0,-11.46,-6.63,-12.68,-11.7,-8.2
35,48.49,53.02,-3.84,-10.94,-10.22,0.0,-9.46,-6.25,-15.84,-11.04,-7.05
36,41.95,45.06,-4.54,-3.89,-4.28,-9.83,-8.99,-4.03,-9.8,-8.57,-4.94
37,36.7,41.95,-11.78,-10.51,-8.23,-9.6,-14.6,-7.82,-15.52,-15.89,-10.13
38,26.47,33.89,-16.86,-9.68,-28.35,0.0,-22.07,-29.42,-23.42,-18.39,-18.31
39,36.56,41.48,-7.52,-7.25,-6.59,0.0,-13.22,-7.17,-14.44,-15.09,-8.67
40,40.58,46.87,-9.91,-10.06,-7.93,-1.31,-14.17,-10.07,-16.78,-15.96,-11.0
41,40.07,43.76,-3.72,-5.39,-5.63,-14.01,-8.77,-6.33,-7.28,-12.14,-6.58
42,35.94,40.46,-7.53,-8.17,-6.81,-3.09,-12.59,-4.73,-14.23,-14.94,-9.07
44,40.15,43.17,-2.01,-11.07,-3.46,0.0,-7.99,-3.01,-7.3,-9.15,-4.8
45,37.75,43.45,-11.36,-13.16,-8.71,-19.75,-15.61,-10.3,-16.7,-16.78,-10.78
46,27.67,34.03,-3.95,-17.26,-16.39,-4.23,-19.81,-19.75,-21.15,-18.41,-8.72
47,37.43,43.35,-13.28,-13.38,-10.39,-37.29,-14.4,-14.46,-14.84,-15.33,-9.88
48,36.78,42.02,-11.79,-11.93,-9.77,-11.29,-12.83,-11.03,-14.05,-14.22,-9.54
49,27.04,32.8,-10.62,-18.74,-18.32,-15.2,-17.87,-13.64,-18.03,-14.99,-13.14
50,39.08,43.11,-1.64,-13.22,0.0,0.0,-9.46,0.0,-14.69,-13.19,-6.87
51,30.35,34.3,-7.58,-9.23,-8.34,-5.86,-13.26,-7.88,-11.69,-13.99,-8.89
53,34.69,37.7,-5.28,-5.26,-3.67,-7.01,-8.59,-5.34,-9.09,-11.4,-6.34
54,44.97,49.91,-9.3,-3.45,-3.24,0.0,-10.19,-4.36,-12.01,-13.55,-8.29
55,31.91,36.41,-6.81,-5.87,-6.54,0.0,-13.53,-5.2,-14.34,-16.22,-7.7
56,29.61,34.86,-14.08,-13.93,-17.35,0.0,-15.76,-24.3,-14.73,-19.42,-12.58
72,74.3,80.11,-10.01,-1.75,-7.27,,-7.48,-7.25,-12.59,-6.82,-5.86
