metdiv20,Num Eligible,Num Ineligible,Percentage Eligible
11244,425077,651698,0.39
14454,320320,473987,0.4
15764,343578,601669,0.36
15804,173936,315550,0.36
16984,1118496,1683926,0.4
19124,669190,1251199,0.35
19804,368229,326725,0.53
20994,97385,171953,0.36
22744,328575,419214,0.44
23104,332174,585823,0.36
23224,145543,346351,0.3
23844,119891,159120,0.43
29404,103986,217870,0.32
31084,1702407,1673249,0.5
33124,530574,438106,0.55
33874,222219,565254,0.28
35004,300708,671529,0.31
35084,312468,536618,0.37
35154,296045,634583,0.32
35614,2239269,2355842,0.49
36084,357668,643180,0.36
37964,452567,426586,0.51
40484,46535,132353,0.26
41884,201351,413626,0.33
42034,29547,73831,0.29
42644,383168,854091,0.31
45104,130599,216779,0.38
47664,379629,685496,0.36
47894,444926,1131525,0.28
48424,236272,359382,0.4
48864,104351,181109,0.37
99999,41183595,55091989,0.43
